#,Country (or dependency),Population,Yearly,Net,Density,Land Area,Migrants,Fert.,Med.,Urban,World
,,-2020,Change,Change,(P/Km²),(Km²),(net),Rate,Age,Pop %,Share
61,Romania,"1,92,37,691",-0.66%,"-1,26,866",84,"2,30,170","-73,999",1.6,43,55%,0.25%
62,Malawi,"1,91,29,952",2.69%,"5,01,205",203,"94,280","-16,053",4.3,18,18%,0.25%
63,Chile,"1,91,16,201",0.87%,"1,64,163",26,"7,43,532","1,11,708",1.7,35,85%,0.25%
64,Kazakhstan,"1,87,76,707",1.21%,"2,25,280",7,"26,99,700","-18,000",2.8,31,58%,0.24%
65,Zambia,"1,83,83,955",2.93%,"5,22,925",25,"7,43,390","-8,000",4.7,18,45%,0.24%
66,Guatemala,"1,79,15,568",1.90%,"3,34,096",167,"1,07,160","-9,215",2.9,23,52%,0.23%
67,Ecuador,"1,76,43,054",1.55%,"2,69,392",71,"2,48,360","36,400",2.4,28,63%,0.23%
68,Syria,"1,75,00,658",2.52%,"4,30,523",95,"1,83,630","-4,27,391",2.8,26,60%,0.22%
69,Netherlands,"1,71,34,872",0.22%,"37,742",508,"33,720","16,000",1.7,43,92%,0.22%
70,Senegal,"1,67,43,927",2.75%,"4,47,563",87,"1,92,530","-20,000",4.7,19,49%,0.21%
71,Cambodia,"1,67,18,965",1.41%,"2,32,423",95,"1,76,520","-30,000",2.5,26,24%,0.21%
72,Chad,"1,64,25,864",3.00%,"4,78,988",13,"12,59,200","2,000",5.8,17,23%,0.21%
73,Somalia,"1,58,93,222",2.92%,"4,50,317",25,"6,27,340","-40,000",6.1,17,47%,0.20%
74,Zimbabwe,"1,48,62,924",1.48%,"2,17,456",38,"3,86,850","-1,16,858",3.6,19,38%,0.19%
75,Guinea,"1,31,32,795",2.83%,"3,61,549",53,"2,45,720","-4,000",4.7,18,39%,0.17%
76,Rwanda,"1,29,52,218",2.58%,"3,25,268",525,"24,670","-9,000",4.1,20,18%,0.17%
77,Benin,"1,21,23,200",2.73%,"3,22,049",108,"1,12,760","-2,000",4.9,19,48%,0.16%
78,Burundi,"1,18,90,784",3.12%,"3,60,204",463,"25,680","2,001",5.5,17,14%,0.15%
79,Tunisia,"1,18,18,619",1.06%,"1,23,900",76,"1,55,360","-4,000",2.2,33,70%,0.15%
80,Bolivia,"1,16,73,021",1.39%,"1,59,921",11,"10,83,300","-9,504",2.8,26,69%,0.15%
81,Belgium,"1,15,89,623",0.44%,"50,295",383,"30,280","48,000",1.7,42,98%,0.15%
82,Haiti,"1,14,02,528",1.24%,"1,39,451",414,"27,560","-35,000",3,24,57%,0.15%
83,Cuba,"1,13,26,616",-0.06%,"-6,867",106,"1,06,440","-14,400",1.6,42,78%,0.15%
84,South Sudan,"1,11,93,725",1.19%,"1,31,612",18,"6,10,952","-1,74,200",4.7,19,25%,0.14%
85,Dominican Republic,"1,08,47,910",1.01%,"1,08,952",225,"48,320","-30,000",2.4,28,85%,0.14%
86,Czech Republic (Czechia),"1,07,08,981",0.18%,"19,772",139,"77,240","22,011",1.6,43,74%,0.14%
87,Greece,"1,04,23,054",-0.48%,"-50,401",81,"1,28,900","-16,000",1.3,46,85%,0.13%
88,Jordan,"1,02,03,134",1.00%,"1,01,440",115,"88,780","10,220",2.8,24,91%,0.13%
89,Portugal,"1,01,96,709",-0.29%,"-29,478",111,"91,590","-6,000",1.3,46,66%,0.13%
90,Azerbaijan,"1,01,39,177",0.91%,"91,459",123,"82,658","1,200",2.1,32,56%,0.13%
91,Sweden,"1,00,99,265",0.63%,"62,886",25,"4,10,340","40,000",1.9,41,88%,0.13%
92,Honduras,"99,04,607",1.63%,"1,58,490",89,"1,11,890","-6,800",2.5,24,57%,0.13%
93,United Arab Emirates,"98,90,402",1.23%,"1,19,873",118,"83,600","40,000",1.4,33,86%,0.13%
94,Hungary,"96,60,351",-0.25%,"-24,328",107,"90,530","6,000",1.5,43,72%,0.12%
95,Tajikistan,"95,37,645",2.32%,"2,16,627",68,"1,39,960","-20,000",3.6,22,27%,0.12%
96,Belarus,"94,49,323",-0.03%,"-3,088",47,"2,02,910","8,730",1.7,40,79%,0.12%
97,Austria,"90,06,398",0.57%,"51,296",109,"82,409","65,000",1.5,43,57%,0.12%
98,Papua New Guinea,"89,47,024",1.95%,"1,70,915",20,"4,52,860",-800,3.6,22,13%,0.11%
99,Serbia,"87,37,371",-0.40%,"-34,864",100,"87,460","4,000",1.5,42,56%,0.11%
100,Israel,"86,55,535",1.60%,"1,36,158",400,"21,640","10,000",3,30,93%,0.11%
101,Switzerland,"86,54,622",0.74%,"63,257",219,"39,516","52,000",1.5,43,74%,0.11%
102,Togo,"82,78,724",2.43%,"1,96,358",152,"54,390","-2,000",4.4,19,43%,0.11%
103,Sierra Leone,"79,76,983",2.10%,"1,63,768",111,"72,180","-4,200",4.3,19,43%,0.10%
104,Hong Kong,"74,96,981",0.82%,"60,827","7,140","1,050","29,308",1.3,45,N.A.,0.10%
105,Laos,"72,75,560",1.48%,"1,06,105",32,"2,30,800","-14,704",2.7,24,36%,0.09%
106,Paraguay,"71,32,538",1.25%,"87,902",18,"3,97,300","-16,556",2.4,26,62%,0.09%
107,Bulgaria,"69,48,445",-0.74%,"-51,674",64,"1,08,560","-4,800",1.6,45,76%,0.09%
108,Libya,"68,71,292",1.38%,"93,840",4,"17,59,540","-1,999",2.3,29,78%,0.09%
109,Lebanon,"68,25,445",-0.44%,"-30,268",667,"10,230","-30,012",2.1,30,78%,0.09%
110,Nicaragua,"66,24,554",1.21%,"79,052",55,"1,20,340","-21,272",2.4,26,57%,0.08%
111,Kyrgyzstan,"65,24,195",1.69%,"1,08,345",34,"1,91,800","-4,000",3,26,36%,0.08%
112,El Salvador,"64,86,205",0.51%,"32,652",313,"20,720","-40,539",2.1,28,73%,0.08%
113,Turkmenistan,"60,31,200",1.50%,"89,111",13,"4,69,930","-5,000",2.8,27,53%,0.08%
114,Singapore,"58,50,342",0.79%,"46,005","8,358",700,"27,028",1.2,42,N.A.,0.08%
115,Denmark,"57,92,202",0.35%,"20,326",137,"42,430","15,200",1.8,42,88%,0.07%
116,Finland,"55,40,720",0.15%,"8,564",18,"3,03,890","14,000",1.5,43,86%,0.07%
117,Congo,"55,18,087",2.56%,"1,37,579",16,"3,41,500","-4,000",4.5,19,70%,0.07%
118,Slovakia,"54,59,642",0.05%,"2,629",114,"48,088","1,485",1.5,41,54%,0.07%
119,Norway,"54,21,241",0.79%,"42,384",15,"3,65,268","28,000",1.7,40,83%,0.07%
120,Oman,"51,06,626",2.65%,"1,31,640",16,"3,09,500","87,400",2.9,31,87%,0.07%
121,State of Palestine,"51,01,414",2.41%,"1,19,994",847,"6,020","-10,563",3.7,21,80%,0.07%
122,Costa Rica,"50,94,118",0.92%,"46,557",100,"51,060","4,200",1.8,33,80%,0.07%
123,Liberia,"50,57,681",2.44%,"1,20,307",53,"96,320","-5,000",4.4,19,53%,0.06%
124,Ireland,"49,37,786",1.13%,"55,291",72,"68,890","23,604",1.8,38,63%,0.06%
125,Central African Republic,"48,29,767",1.78%,"84,582",8,"6,22,980","-40,000",4.8,18,43%,0.06%
126,New Zealand,"48,22,233",0.82%,"39,170",18,"2,63,310","14,881",1.9,38,87%,0.06%
127,Mauritania,"46,49,658",2.74%,"1,23,962",5,"10,30,700","5,000",4.6,20,57%,0.06%
128,Panama,"43,14,767",1.61%,"68,328",58,"74,340","11,200",2.5,30,68%,0.06%
129,Kuwait,"42,70,571",1.51%,"63,488",240,"17,820","39,520",2.1,37,N.A.,0.05%
130,Croatia,"41,05,267",-0.61%,"-25,037",73,"55,960","-8,001",1.4,44,58%,0.05%
131,Moldova,"40,33,963",-0.23%,"-9,300",123,"32,850","-1,387",1.3,38,43%,0.05%
132,Georgia,"39,89,167",-0.19%,"-7,598",57,"69,490","-10,000",2.1,38,58%,0.05%
133,Eritrea,"35,46,421",1.41%,"49,304",35,"1,01,000","-39,858",4.1,19,63%,0.05%
134,Uruguay,"34,73,730",0.35%,"11,996",20,"1,75,020","-3,000",2,36,96%,0.04%
135,Bosnia and Herzegovina,"32,80,819",-0.61%,"-20,181",64,"51,000","-21,585",1.3,43,52%,0.04%
136,Mongolia,"32,78,290",1.65%,"53,123",2,"15,53,560",-852,2.9,28,67%,0.04%
137,Armenia,"29,63,243",0.19%,"5,512",104,"28,470","-4,998",1.8,35,63%,0.04%
138,Jamaica,"29,61,167",0.44%,"12,888",273,"10,830","-11,332",2,31,55%,0.04%
139,Qatar,"28,81,053",1.73%,"48,986",248,"11,610","40,000",1.9,32,96%,0.04%
140,Albania,"28,77,797",-0.11%,"-3,120",105,"27,400","-14,000",1.6,36,63%,0.04%
141,Puerto Rico,"28,60,853",-2.47%,"-72,555",323,"8,870","-97,986",1.2,44,N.A.,0.04%
142,Lithuania,"27,22,289",-1.35%,"-37,338",43,"62,674","-32,780",1.7,45,71%,0.03%
143,Namibia,"25,40,905",1.86%,"46,375",3,"8,23,290","-4,806",3.4,22,55%,0.03%
144,Gambia,"24,16,668",2.94%,"68,962",239,"10,120","-3,087",5.3,18,59%,0.03%
145,Botswana,"23,51,627",2.08%,"47,930",4,"5,66,730","3,000",2.9,24,73%,0.03%
146,Gabon,"22,25,734",2.45%,"53,155",9,"2,57,670","3,260",4,23,87%,0.03%
147,Lesotho,"21,42,249",0.80%,"16,981",71,"30,360","-10,047",3.2,24,31%,0.03%
148,North Macedonia,"20,83,374",0.00%,-85,83,"25,220","-1,000",1.5,39,59%,0.03%
149,Slovenia,"20,78,938",0.01%,284,103,"20,140","2,000",1.6,45,55%,0.03%
150,Guinea-Bissau,"19,68,001",2.45%,"47,079",70,"28,120","-1,399",4.5,19,45%,0.03%
151,Latvia,"18,86,198",-1.08%,"-20,545",30,"62,200","-14,837",1.7,44,69%,0.02%
152,Bahrain,"17,01,575",3.68%,"60,403","2,239",760,"47,800",2,32,89%,0.02%
153,Equatorial Guinea,"14,02,985",3.47%,"46,999",50,"28,050","16,000",4.6,22,73%,0.02%
154,Trinidad and Tobago,"13,99,488",0.32%,"4,515",273,"5,130",-800,1.7,36,52%,0.02%
155,Estonia,"13,26,535",0.07%,887,31,"42,390","3,911",1.6,42,68%,0.02%
156,Timor-Leste,"13,18,445",1.96%,"25,326",89,"14,870","-5,385",4.1,21,33%,0.02%
157,Mauritius,"12,71,768",0.17%,"2,100",626,"2,030",0,1.4,37,41%,0.02%
158,Cyprus,"12,07,359",0.73%,"8,784",131,"9,240","5,000",1.3,37,67%,0.02%
159,Eswatini,"11,60,164",1.05%,"12,034",67,"17,200","-8,353",3,21,30%,0.01%
160,Djibouti,"9,88,000",1.48%,"14,440",43,"23,180",900,2.8,27,79%,0.01%
161,Fiji,"8,96,445",0.73%,"6,492",49,"18,270","-6,202",2.8,28,59%,0.01%
162,Réunion,"8,95,312",0.72%,"6,385",358,"2,500","-1,256",2.3,36,100%,0.01%
163,Comoros,"8,69,601",2.20%,"18,715",467,"1,861","-2,000",4.2,20,29%,0.01%
164,Guyana,"7,86,552",0.48%,"3,786",4,"1,96,850","-6,000",2.5,27,27%,0.01%
165,Bhutan,"7,71,608",1.12%,"8,516",20,"38,117",320,2,28,46%,0.01%
166,Solomon Islands,"6,86,884",2.55%,"17,061",25,"27,990","-1,600",4.4,20,23%,0.01%
167,Macao,"6,49,335",1.39%,"8,890","21,645",30,"5,000",1.2,39,N.A.,0.01%
168,Montenegro,"6,28,066",0.01%,79,47,"13,450",-480,1.8,39,68%,0.01%
169,Luxembourg,"6,25,978",1.66%,"10,249",242,"2,590","9,741",1.5,40,88%,0.01%
170,Western Sahara,"5,97,339",2.55%,"14,876",2,"2,66,000","5,582",2.4,28,87%,0.01%
171,Suriname,"5,86,632",0.90%,"5,260",4,"1,56,000","-1,000",2.4,29,65%,0.01%
172,Cabo Verde,"5,55,987",1.10%,"6,052",138,"4,030","-1,342",2.3,28,68%,0.01%
173,Maldives,"5,40,544",1.81%,"9,591","1,802",300,"11,370",1.9,30,35%,0.01%
174,Malta,"4,41,543",0.27%,"1,171","1,380",320,900,1.5,43,93%,0.01%
175,Brunei,"4,37,479",0.97%,"4,194",83,"5,270",0,1.8,32,80%,0.01%
176,Guadeloupe,"4,00,124",0.02%,68,237,"1,690","-1,440",2.2,44,N.A.,0.01%
177,Belize,"3,97,628",1.86%,"7,275",17,"22,810","1,200",2.3,25,46%,0.01%
178,Bahamas,"3,93,244",0.97%,"3,762",39,"10,010","1,000",1.8,32,86%,0.01%
179,Martinique,"3,75,265",-0.08%,-289,354,"1,060",-960,1.9,47,92%,0.00%
180,Iceland,"3,41,243",0.65%,"2,212",3,"1,00,250",380,1.8,37,94%,0.00%
181,Vanuatu,"3,07,145",2.42%,"7,263",25,"12,190",120,3.8,21,24%,0.00%
182,French Guiana,"2,98,682",2.70%,"7,850",4,"82,200","1,200",3.4,25,87%,0.00%
183,Barbados,"2,87,375",0.12%,350,668,430,-79,1.6,40,31%,0.00%
184,New Caledonia,"2,85,498",0.97%,"2,748",16,"18,280",502,2,34,72%,0.00%
185,French Polynesia,"2,80,908",0.58%,"1,621",77,"3,660","-1,000",2,34,64%,0.00%
186,Mayotte,"2,72,815",2.50%,"6,665",728,375,0,3.7,20,46%,0.00%
187,Sao Tome & Principe,"2,19,159",1.91%,"4,103",228,960,"-1,680",4.4,19,74%,0.00%
188,Samoa,"1,98,414",0.67%,"1,317",70,"2,830","-2,803",3.9,22,18%,0.00%
189,Saint Lucia,"1,83,627",0.46%,837,301,610,0,1.4,34,19%,0.00%
190,Channel Islands,"1,73,863",0.93%,"1,604",915,190,"1,351",1.5,43,30%,0.00%
191,Guam,"1,68,775",0.89%,"1,481",313,540,-506,2.3,31,95%,0.00%
192,Curaçao,"1,64,093",0.41%,669,370,444,515,1.8,42,89%,0.00%
193,Kiribati,"1,19,449",1.57%,"1,843",147,810,-800,3.6,23,57%,0.00%
194,Micronesia,"1,15,023",1.06%,"1,208",164,700,-600,3.1,24,21%,0.00%
195,Grenada,"1,12,523",0.46%,520,331,340,-200,2.1,32,35%,0.00%
196,St. Vincent & Grenadines,"1,10,940",0.32%,351,284,390,-200,1.9,33,53%,0.00%
197,Aruba,"1,06,766",0.43%,452,593,180,201,1.9,41,44%,0.00%
198,Tonga,"1,05,695",1.15%,"1,201",147,720,-800,3.6,22,24%,0.00%
199,U.S. Virgin Islands,"1,04,425",-0.15%,-153,298,350,-451,2,43,96%,0.00%
200,Seychelles,"98,347",0.62%,608,214,460,-200,2.5,34,56%,0.00%
201,Antigua and Barbuda,"97,929",0.84%,811,223,440,0,2,34,26%,0.00%
202,Isle of Man,"85,033",0.53%,449,149,570,,N.A.,N.A.,53%,0.00%
203,Andorra,"77,265",0.16%,123,164,470,,N.A.,N.A.,88%,0.00%
204,Dominica,"71,986",0.25%,178,96,750,,N.A.,N.A.,74%,0.00%
205,Cayman Islands,"65,722",1.19%,774,274,240,,N.A.,N.A.,97%,0.00%
206,Bermuda,"62,278",-0.36%,-228,"1,246",50,,N.A.,N.A.,97%,0.00%
207,Marshall Islands,"59,190",0.68%,399,329,180,,N.A.,N.A.,70%,0.00%
208,Northern Mariana Islands,"57,559",0.60%,343,125,460,,N.A.,N.A.,88%,0.00%
209,Greenland,"56,770",0.17%,98,0,"4,10,450",,N.A.,N.A.,87%,0.00%
210,American Samoa,"55,191",-0.22%,-121,276,200,,N.A.,N.A.,88%,0.00%
211,Saint Kitts & Nevis,"53,199",0.71%,376,205,260,,N.A.,N.A.,33%,0.00%
212,Faeroe Islands,"48,863",0.38%,185,35,"1,396",,N.A.,N.A.,43%,0.00%
213,Sint Maarten,"42,876",1.15%,488,"1,261",34,,N.A.,N.A.,96%,0.00%
214,Monaco,"39,242",0.71%,278,"26,337",1,,N.A.,N.A.,N.A.,0.00%
215,Turks and Caicos,"38,717",1.38%,526,41,950,,N.A.,N.A.,89%,0.00%
216,Saint Martin,"38,666",1.75%,664,730,53,,N.A.,N.A.,0%,0.00%
217,Liechtenstein,"38,128",0.29%,109,238,160,,N.A.,N.A.,15%,0.00%
218,San Marino,"33,931",0.21%,71,566,60,,N.A.,N.A.,97%,0.00%
219,Gibraltar,"33,691",-0.03%,-10,"3,369",10,,N.A.,N.A.,N.A.,0.00%
220,British Virgin Islands,"30,231",0.67%,201,202,150,,N.A.,N.A.,52%,0.00%
221,Caribbean Netherlands,"26,223",0.94%,244,80,328,,N.A.,N.A.,75%,0.00%
222,Palau,"18,094",0.48%,86,39,460,,N.A.,N.A.,N.A.,0.00%
223,Cook Islands,"17,564",0.09%,16,73,240,,N.A.,N.A.,75%,0.00%
224,Anguilla,"15,003",0.90%,134,167,90,,N.A.,N.A.,N.A.,0.00%
225,Tuvalu,"11,792",1.25%,146,393,30,,N.A.,N.A.,62%,0.00%
226,Wallis & Futuna,"11,239",-1.69%,-193,80,140,,N.A.,N.A.,0%,0.00%
227,Nauru,"10,824",0.63%,68,541,20,,N.A.,N.A.,N.A.,0.00%
228,Saint Barthelemy,"9,877",0.30%,30,470,21,,N.A.,N.A.,0%,0.00%
229,Saint Helena,"6,077",0.30%,18,16,390,,N.A.,N.A.,27%,0.00%
230,Saint Pierre & Miquelon,"5,794",-0.48%,-28,25,230,,N.A.,N.A.,100%,0.00%
231,Montserrat,"4,992",0.06%,3,50,100,,N.A.,N.A.,10%,0.00%
232,Falkland Islands,"3,480",3.05%,103,0,"12,170",,N.A.,N.A.,66%,0.00%
233,Niue,"1,626",0.68%,11,6,260,,N.A.,N.A.,46%,0.00%
234,Tokelau,"1,357",1.27%,17,136,10,,N.A.,N.A.,0%,0.00%
235,Holy See,801,0.25%,2,"2,003",0,,N.A.,N.A.,N.A.,0.00%
